type;Replicate;time ;N;temp;act+;act;sumact;in;propact
CTRL;1;2h;22;5;22;0;22;0;1
CTRL;2;2h;22;5;21;1;22;0;1
CTRL;3;2h;22;5;22;0;22;0;1
CTRL;4;2h;21;5;19;2;21;0;1
CTRL;5;2h;21;5;21;0;21;0;1
30ºC;1;2h;21;30;20;1;21;0;1
30ºC;2;2h;19;30;19;0;19;0;1
30ºC;3;2h;23;30;23;0;23;0;1
30ºC;4;2h;20;30;19;0;19;1;0,95
30ºC;5;2h;18;30;18;0;18;0;1
35ºC;1;2h;20;35;20;0;20;0;1
35ºC;2;2h;20;35;19;0;19;1;0,95
35ºC;3;2h;20;35;19;0;19;1;0,95
35ºC;4;2h;20;35;19;0;19;1;0,95
35ºC;5;2h;20;35;19;0;19;1;0,95
37ºC;1;2h;20;37;12;0;12;8;0,6
37ºC;2;2h;20;37;12;0;12;8;0,6
37ºC;3;2h;20;37;12;0;12;8;0,6
37ºC;4;2h;20;37;10;2;12;8;0,6
37ºC;5;2h;20;37;15;2;17;3;0,85
40ºC;1;2h;20;40;0;0;0;20;0
40ºC;2;2h;19;40;0;0;0;19;0
40ºC;3;2h;20;40;0;0;0;20;0
40ºC;4;2h;19;40;0;0;0;19;0
40ºC;5;2h;20;40;0;0;0;20;0
CTRL;1;24h;22;5;21;0;21;1;0,954545455
CTRL;2;24h;22;5;22;0;22;0;1
CTRL;3;24h;22;5;22;0;22;0;1
CTRL;4;24h;21;5;20;0;20;1;0,952380952
CTRL;5;24h;21;5;21;0;21;0;1
30ºC;1;24h;21;30;21;0;21;0;1
30ºC;2;24h;19;30;19;0;19;0;1
30ºC;3;24h;23;30;23;0;23;0;1
30ºC;4;24h;20;30;20;0;20;0;1
30ºC;5;24h;18;30;18;0;18;0;1
35ºC;1;24h;20;35;18;0;18;2;0,9
35ºC;2;24h;20;35;19;0;19;1;0,95
35ºC;3;24h;20;35;19;1;20;0;1
35ºC;4;24h;20;35;19;0;19;1;0,95
35ºC;5;24h;20;35;18;1;19;1;0,95
37ºC;1;24h;20;37;3;6;9;11;0,45
37ºC;2;24h;20;37;6;5;11;9;0,55
37ºC;3;24h;20;37;9;2;11;9;0,55
37ºC;4;24h;20;37;4;8;12;8;0,6
37ºC;5;24h;20;37;4;4;8;12;0,4
40ºC;1;24h;20;40;0;0;0;20;0
40ºC;2;24h;19;40;0;0;0;19;0
40ºC;3;24h;20;40;0;0;0;20;0
40ºC;4;24h;19;40;0;0;0;19;0
40ºC;5;24h;20;40;0;0;0;20;0
CTRL;1;48h;22;5;21;1;22;0;1
CTRL;2;48h;22;5;22;0;22;0;1
CTRL;3;48h;22;5;22;0;22;0;1
CTRL;4;48h;21;5;20;0;20;1;0,952380952
CTRL;5;48h;21;5;21;0;21;0;1
30ºC;1;48h;21;30;21;0;21;0;1
30ºC;2;48h;19;30;19;0;19;0;1
30ºC;3;48h;23;30;23;0;23;0;1
30ºC;4;48h;20;30;18;2;20;0;1
30ºC;5;48h;18;30;18;0;18;0;1
35ºC;1;48h;20;35;18;1;19;1;0,95
35ºC;2;48h;20;35;19;0;19;1;0,95
35ºC;3;48h;20;35;18;1;19;1;0,95
35ºC;4;48h;20;35;19;0;19;1;0,95
35ºC;5;48h;20;35;18;1;19;1;0,95
37ºC;1;48h;20;37;9;0;9;11;0,45
37ºC;2;48h;20;37;9;1;10;10;0,5
37ºC;3;48h;20;37;10;2;12;8;0,6
37ºC;4;48h;20;37;11;3;14;6;0,7
37ºC;5;48h;20;37;6;3;9;11;0,45
40ºC;1;48h;20;40;0;0;0;20;0
40ºC;2;48h;19;40;0;0;0;19;0
40ºC;3;48h;20;40;0;0;0;20;0
40ºC;4;48h;19;40;0;0;0;19;0
40ºC;5;48h;20;40;0;0;0;20;0
